Company,Item,Calories,Protein,Protein Focused Diet
Burger King,Cheeseburger,280,15,
Burger King,Cheeseburger,280,15,
Burger King,Hamburger,240,13,
Burger King,Chicken Fries – 9 pc.,280,13,
Burger King,Hamburger,240,13,
Burger King,Chicken Nuggets- 6pc,260,12,
Burger King,Chicken Nuggets- 6pc,260,12,
Burger King,PB&J Jamwich,300,11,
,,,,Calorie Focused Diet
Burger King,PB&J Jamwich,300,11,
Burger King,Cheeseburger,280,15,
Burger King,Chicken Fries – 9 pc.,280,13,
Burger King,Cheeseburger,280,15,
Burger King,Chicken Nuggets- 6pc,260,12,
Burger King,Chicken Nuggets- 6pc,260,12,
Burger King,Hamburger,240,13,
Burger King,Hamburger,240,13,
,,,,Low Sugar Diet
Burger King,Chicken Nuggets- 4pc,170,0,
Burger King,Chicken Nuggets- 6pc,260,0,
Burger King,Spicy Chicken Nuggets- 4pc,210,0,
Burger King,Chicken Nuggets- 4pc,170,0,
Burger King,Chicken Nuggets- 6pc,260,0,
Burger King,Hash Browns – small,250,0,
Burger King,American Cheese (slice),40,0,
Burger King,Mayonnaise (Packet),80,0,
Burger King,Zesty Onion Ring Dipping Sauce (1 oz),150,0,
Burger King,16 fl oz,0,0,
Burger King,20 fl oz,0,0,
Burger King,29 fl oz,0,0,
Burger King,38 fl oz,0,0,
Burger King,16 fl oz,10,0,
Burger King,20 fl oz,10,0,
Burger King,29 fl oz,15,0,
Burger King,38 fl oz,20,0,
Burger King,20 fl oz,0,0,
Burger King,29 fl oz,0,0,
Burger King,40 fl oz,0,0,
Burger King,BK® Café Coffee- 12 fl oz,0,0,
Burger King,BK® Café Coffee- 16 fl oz,0,0,
Burger King,BK® Café Coffee- 20 fl oz,0,0,
Burger King,BK® Café Decaf Coffee- 12 fl oz,0,0,
Burger King,BK® Café Decaf Coffee- 16 fl oz,0,0,
Burger King,BK® Café Decaf Coffee- 20 fl oz,0,0,
Burger King,Chicken Fries – 9 pc.,280,1,
Burger King,Crispy Taco,170,1,
Burger King,Buttery Garlic Croutons- Packet,60,1,
Burger King,French Fries – value (unsalted),220,1,
Burger King,Ranch Dipping Sauce (1 oz),140,1,
Burger King,Buffalo Dipping Sauce (1 oz),80,1,
Burger King,Barbecue Dipping Sauce (1 oz),40,10,
,,,,No Red Meat
Burger King,Chicken Nuggets- 4pc,170,8,
Burger King,Chicken Nuggets- 4pc,170,8,
Burger King,Spicy Chicken Nuggets- 4pc,210,8,
Burger King,Chicken Nuggets- 6pc,260,12,
Burger King,Chicken Nuggets- 6pc,260,12,
Burger King,Chicken Fries – 9 pc.,280,13,
Burger King,Spicy Chicken Nuggets- 6pc,320,12,
Burger King,Spicy Crispy Chicken Jr.,390,12,
Burger King,Chicken Nuggets- 10pc,430,20,
Burger King,Garden Chicken Salad with Crispy Chicken – no dressing,440,25,
Burger King,Crispy Chicken Jr.,450,12,
Burger King,Spicy Chicken Nuggets- 10 pc,530,20,
Burger King,Club Salad with Crispy Chicken – no dressing,540,31,
